t_s,x_ref_cm,x_meas_cm,x_meas_raw_cm,x_true_cm,v_true_cmps,v_obs_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
0.000000000000000000e+00,5.000000000000000000e+00,2.852700155233640553e-02,1.270085999999999785e-02,1.270085999999999785e-02,6.350429999999999131e-01,1.426350077616820311e+00,6.350429999999999353e+00,4.971472998447663549e+00,6.349999999999999645e+00,4.299999999999999894e-04,0.000000000000000000e+00
2.000000000000000042e-02,5.000000000000000000e+00,6.636481170990549128e-02,3.673247761586666271e-02,3.673247761586666271e-02,1.201580880793333472e+00,1.891890507878454475e+00,6.300421807933335394e+00,4.933635188290094398e+00,6.313770708028532574e+00,8.575466778664990897e-04,-1.420644677306352917e-02
4.000000000000000083e-02,5.000000000000000000e+00,1.264567751472012447e-01,7.083735504261240434e-02,7.083735504261240434e-02,1.705243871337286610e+00,3.004598171864787393e+00,6.238210786232865956e+00,4.873543224852798339e+00,6.265716689128420391e+00,1.281839304059447220e-03,-2.878774219961387215e-02
5.999999999999999778e-02,5.000000000000000000e+00,2.088868482990293152e-01,1.138137920111894630e-01,1.138137920111894630e-01,2.148821848428852377e+00,4.121503657591404135e+00,6.141023642252947390e+00,4.791113151700971073e+00,6.189399895563053811e+00,1.700964021396787892e-03,-5.007721733150299198e-02
8.000000000000000167e-02,5.000000000000000000e+00,2.927210775560941669e-01,1.645140302306108415e-01,1.645140302306108415e-01,2.535011910971068261e+00,4.191711462853241699e+00,6.010722473851012992e+00,4.707278922443905778e+00,6.084713702660232926e+00,2.112999752443071345e-03,-7.610422856166247640e-02
1.000000000000000056e-01,5.000000000000000000e+00,3.833473385076681117e-01,2.219157239302507745e-01,2.219157239302507745e-01,2.870084684981996759e+00,4.531313047578698239e+00,5.885739651080351464e+00,4.616652661492332221e+00,5.978244231503760275e+00,2.517825739773247445e-03,-9.502240616318202715e-02
1.199999999999999956e-01,5.000000000000000000e+00,4.682915576628337018e-01,2.850860806113183488e-01,2.850860806113183488e-01,3.158517834053378159e+00,4.247210957758277949e+00,5.754416175695812541e+00,4.531708442337166076e+00,5.863148880095262250e+00,2.914857868661587838e-03,-1.116475622681112473e-01
1.400000000000000133e-01,5.000000000000000000e+00,5.705378620789426369e-01,3.532156392079510709e-01,3.532156392079510709e-01,3.406477929831635443e+00,5.112315220805447424e+00,5.638118791835952770e+00,4.429462137921057696e+00,5.755269721768200952e+00,3.304584794702584288e-03,-1.204555147269503468e-01
1.600000000000000033e-01,5.000000000000000000e+00,6.708726618421002597e-01,4.255199717725009489e-01,4.255199717725009489e-01,3.615216628227493789e+00,5.016739988157882912e+00,5.493864913790219795e+00,4.329127338157899629e+00,5.625416915159743070e+00,3.685518538563795164e-03,-1.352375199080874946e-01
1.799999999999999933e-01,5.000000000000000000e+00,7.744216254503893948e-01,5.013087041780607267e-01,5.013087041780607267e-01,3.789436620277990997e+00,5.177448180414457646e+00,5.357416548732464534e+00,4.225578374549610494e+00,5.497991719460532778e+00,4.057823489645374926e-03,-1.446329942177137506e-01
