t_s,x_ref_cm,x_meas_cm,x_meas_raw_cm,x_true_cm,v_true_cmps,v_obs_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
0.000000000000000000e+00,5.000000000000000000e+00,4.480185374890285899e-02,1.270085999999999785e-02,1.270085999999999785e-02,6.350429999999999131e-01,6.350429999999999131e-01,6.350429999999999353e+00,4.955198146251096780e+00,6.349999999999999645e+00,4.299999999999999894e-04,0.000000000000000000e+00
2.000000000000000042e-02,5.000000000000000000e+00,5.334803029857613232e-01,3.667492693922502767e-02,3.667492693922502767e-02,1.198703346961251581e+00,1.198703346961251581e+00,6.271646469612516483e+00,4.466519697014238233e+00,6.293101645738892636e+00,8.561470405775942639e-04,-2.231132316695362203e-02
4.000000000000000083e-02,5.000000000000000000e+00,-8.500374477242891857e-02,6.908106816253911653e-02,6.908106816253911653e-02,1.620307061165704443e+00,1.620307061165704443e+00,5.414740489005780866e+00,5.085003744772429002e+00,5.672480015208082982e+00,1.240267734520818710e-03,-2.589797939368230217e-01
5.999999999999999778e-02,5.000000000000000000e+00,7.002799772908788745e-01,1.114192983314125085e-01,1.114192983314125085e-01,2.116911508443669820e+00,2.116911508443669820e+00,6.586351533945359549e+00,4.299720022709121459e+00,6.457954755860985330e+00,1.677578056571247568e-03,1.267192000278025699e-01
8.000000000000000167e-02,5.000000000000000000e+00,8.781703294415718064e-01,1.598443533419006413e-01,1.598443533419006413e-01,2.421252750524407027e+00,2.421252750524407027e+00,5.160323929251043218e+00,4.121829670558428305e+00,5.460644428840584652e+00,2.047353978524232149e-03,-3.023678535680654478e-01
1.000000000000000056e-01,5.000000000000000000e+00,3.898735727393497497e-01,2.133006600914813811e-01,2.133006600914813811e-01,2.672815337479037101e+00,2.672815337479037101e+00,4.936878620070705992e+00,4.610126427260650139e+00,5.234723681609204426e+00,2.401831330192256888e-03,-3.002468928686908844e-01
1.199999999999999956e-01,5.000000000000000000e+00,6.000444745878874553e-01,2.731926518154111916e-01,2.731926518154111916e-01,2.994599586196491803e+00,2.994599586196491803e+00,5.890657824653585450e+00,4.399955525412112323e+00,5.854860562621025721e+00,2.798302202936672582e-03,3.299895982962292029e-02
1.400000000000000133e-01,5.000000000000000000e+00,7.731491027836255858e-01,3.381145531237713664e-01,3.381145531237713664e-01,3.246095065418009629e+00,3.246095065418009629e+00,5.509554378411668729e+00,4.226850897216374747e+00,5.587943517273382454e+00,3.176698378122114284e-03,-8.156583723983572287e-02
1.600000000000000033e-01,5.000000000000000000e+00,1.069998191356552164e+00,4.070009416135169644e-01,4.070009416135169644e-01,3.444319424487280124e+00,3.444319424487280124e+00,5.228338656110715910e+00,3.930001808643448058e+00,5.368100639464795876e+00,3.540207555282722657e-03,-1.433021909093626090e-01
1.799999999999999933e-01,5.000000000000000000e+00,1.262320559326292724e+00,4.784923674641722857e-01,4.784923674641722857e-01,3.574571292532765732e+00,3.574571292532765732e+00,4.746838104942134429e+00,3.737679440673707276e+00,4.991102296977179442e+00,3.878187710826059426e-03,-2.481423797458712499e-01
2.000000000000000111e-01,5.000000000000000000e+00,1.300055786562418492e+00,5.517978033552166650e-01,5.517978033552166650e-01,3.665271794552218410e+00,3.665271794552218410e+00,4.481576312727291622e+00,3.699944213437581730e+00,4.746852889655608365e+00,4.199628142723997939e-03,-2.694762050710406975e-01
