t_s,x_ref_cm,x_meas_cm,x_meas_raw_cm,x_true_cm,v_true_cmps,v_obs_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
0.000000000000000000e+00,5.186464487024091241e+00,1.317451186893295843e-02,1.317451186893295843e-02,1.317451186893295843e-02,6.587255934466479390e-01,6.587255934466479390e-01,6.587255934466480056e+00,5.173289975155157983e+00,6.586809898520596285e+00,4.460359458840718679e-04,0.000000000000000000e+00
2.000000000000000042e-02,4.855558572818075014e+00,3.731983121391223984e-02,3.731983121391223984e-02,3.731983121391223984e-02,1.207265967248964067e+00,1.207265967248964067e+00,6.144129331469808442e+00,4.818238741604162989e+00,6.149827757405410544e+00,8.624809751256980661e-04,-6.560906910728613213e-03
4.000000000000000083e-02,4.844508595303338438e+00,7.123019587585580070e-02,7.123019587585580070e-02,7.123019587585580070e-02,1.695518233097177641e+00,1.695518233097177641e+00,6.089788625731099359e+00,4.773278399427482555e+00,6.105129730393571208e+00,1.275899208837388832e-03,-1.661700387130971013e-02
5.999999999999999778e-02,5.236065195761392843e+00,1.148146065927287962e-01,1.148146065927287962e-01,1.148146065927287962e-01,2.179220535843649387e+00,2.179220535843649387e+00,6.532541260561894880e+00,5.121250589168663936e+00,6.559340449854632382e+00,1.720075018827545155e-03,-2.851926431156468975e-02
8.000000000000000167e-02,5.221194347466003194e+00,1.669317621839754850e-01,1.669317621839754850e-01,1.669317621839754850e-01,2.605857779562334553e+00,2.605857779562334553e+00,6.445592973030502826e+00,5.054262585282027764e+00,6.485102270909058220e+00,2.159223676542646603e-03,-4.166852155509803701e-02
1.000000000000000056e-01,5.362650225763296419e+00,2.269292946073717676e-01,2.269292946073717676e-01,2.269292946073717676e-01,2.999876621169814683e+00,2.999876621169814683e+00,6.546046195637138077e+00,5.135720931155924873e+00,6.598562448745737719e+00,2.606055464410468332e-03,-5.512230857300947501e-02
1.199999999999999956e-01,5.358202117890469296e+00,2.938296726751259969e-01,2.938296726751259969e-01,2.938296726751259969e-01,3.345018903387712239e+00,3.345018903387712239e+00,6.451299443348789353e+00,5.064372445215343355e+00,6.516716485569534534e+00,3.047344927212814782e-03,-6.846438714795798075e-02
1.400000000000000133e-01,5.670622959345172909e+00,3.675416044639838731e-01,3.675416044639838731e-01,3.675416044639838731e-01,3.685596589442892590e+00,3.685596589442892590e+00,6.750795763939514416e+00,5.303081354881189036e+00,6.828527474070959613e+00,3.509749149866438645e-03,-8.124145928131219774e-02
1.600000000000000033e-01,5.738577299000948706e+00,4.473455619274634976e-01,4.473455619274634976e-01,4.473455619274634976e-01,3.990197873173980447e+00,3.990197873173980447e+00,6.731609426753772496e+00,5.291231737073485597e+00,6.821215332061945524e+00,3.971658219596618106e-03,-9.357756352776976094e-02
1.799999999999999933e-01,5.619904741962638894e+00,5.321057636279301617e-01,5.321057636279301617e-01,5.321057636279301617e-01,4.238010085023332429e+00,4.238010085023332429e+00,6.468319991667500268e+00,5.087798978334708622e+00,6.569150158644672999e+00,4.416498309079643428e-03,-1.052466652862516922e-01
2.000000000000000111e-01,5.439981966738304919e+00,6.206338613732811371e-01,6.206338613732811371e-01,6.206338613732811371e-01,4.426404887267550770e+00,4.426404887267550770e+00,6.121958107465514942e+00,4.819348105365024004e+00,6.233002777950176210e+00,4.838575662547135552e-03,-1.158832461472085740e-01
2.200000000000000011e-01,5.583581352005658083e+00,7.126751562186363076e-01,7.126751562186363076e-01,7.126751562186363076e-01,4.602064742267758746e+00,4.602064742267758746e+00,6.183003437269629643e+00,4.870906195787021886e+00,6.302943313103119394e+00,5.265389146741519637e-03,-1.252052649802307960e-01
2.399999999999999911e-01,5.449117172618493044e+00,8.072872692467936151e-01,8.072872692467936151e-01,8.072872692467936151e-01,4.730605651407865153e+00,4.730605651407865153e+00,5.887473833668821932e+00,4.641829903371699650e+00,6.015281360827818169e+00,5.672723160151907536e-03,-1.334802503191484246e-01
2.600000000000000089e-01,5.655850652775354703e+00,9.044845953504971892e-01,9.044845953504971892e-01,9.044845953504971892e-01,4.859866305185176927e+00,4.859866305185176927e+00,6.023212189180982890e+00,4.751366057424857736e+00,6.157675497081273264e+00,6.089699611135364170e-03,-1.405530075114262423e-01
2.800000000000000266e-01,5.690186994308666257e+00,1.003837292729903741e+00,1.003837292729903741e+00,1.003837292729903741e+00,4.967634868970327133e+00,4.967634868970327133e+00,5.937551943036678104e+00,4.686349701578762961e+00,6.077842046676875221e+00,6.501270017445767019e-03,-1.467913736576427486e-01
2.999999999999999889e-01,5.336037586538826538e+00,1.103967793586419166e+00,1.103967793586419166e+00,1.103967793586419166e+00,5.006525042825769489e+00,5.006525042825769489e+00,5.356536607524750693e+00,4.232069792952406928e+00,5.501894373137331762e+00,6.873839242713334317e-03,-1.522316048552943835e-01
