t_s,x_ref_cm,x_meas_cm,x_meas_raw_cm,x_true_cm,v_true_cmps,v_obs_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
0.000000000000000000e+00,4.935733958800419430e+00,5.417965210698699741e-01,1.253761320159398063e-02,1.253761320159398063e-02,6.268806600796990036e-01,1.888954124673934754e+00,6.268806600796989592e+00,4.393937437730549789e+00,6.268382127676532356e+00,4.244731204568360475e-04,0.000000000000000000e+00
2.000000000000000042e-02,5.115156477608458374e+00,-6.982844077903802016e-02,3.489980560180443170e-02,3.489980560180443170e-02,1.118109620010522276e+00,2.776541518626263194e+00,5.539170259387931949e+00,5.184984918387496755e+00,5.808167144804007975e+00,8.177820767191546544e-04,-2.698146674927952571e-01
4.000000000000000083e-02,5.325207620694272670e+00,2.167406182196139341e-01,6.896317179600365554e-02,6.896317179600365554e-02,1.703168309709961026e+00,2.726031143040896776e+00,6.968696517004911328e+00,5.108467002474658791e+00,6.851695798071105514e+00,1.281755178005859492e-03,1.157189637557995421e-01
5.999999999999999778e-02,5.123816177429810992e+00,9.102956516905648110e-01,1.119641645850245060e-01,1.119641645850245060e-01,2.150049639451042882e+00,3.697367008860802162e+00,6.171981607120780033e+00,4.213520525739245848e+00,6.231985960196950280e+00,1.703763676097936382e-03,-6.170811675226894888e-02
8.000000000000000167e-02,5.322145143363816722e+00,7.304824298142267303e-01,1.610981499926678606e-01,1.610981499926678606e-01,2.456699270382167732e+00,4.311946677811209661e+00,5.216545948762290053e+00,4.591662713549590435e+00,5.603048854425029646e+00,2.083182732381835996e-03,-3.885860883951217093e-01
1.000000000000000056e-01,5.372293653908134736e+00,1.261697132470982252e+00,2.167489755709763877e-01,2.167489755709763877e-01,2.782541278915426020e+00,4.411580703304831985e+00,5.715119355714748828e+00,4.110596521437152262e+00,5.895100254599263678e+00,2.482378497653912365e-03,-1.824632773821688314e-01
1.199999999999999956e-01,5.516684299570680849e+00,9.292942616212345186e-01,2.768635441784941809e-01,2.768635441784941809e-01,3.005728430375889104e+00,1.986713007550647170e+00,5.014412793520058642e+00,4.587390037949446331e+00,5.403833702216616963e+00,2.848307394024486225e-03,-3.922692160905824066e-01
1.400000000000000133e-01,5.509446166243748166e+00,1.530147305807083358e+00,3.423886225207565248e-01,3.423886225207565248e-01,3.276253917113118419e+00,5.384827063547834136e+00,5.710983297748181364e+00,3.979298860436665031e+00,5.816792918870592466e+00,3.242200457822022250e-03,-1.090518215802333546e-01
1.600000000000000033e-01,5.482892636126063479e+00,1.190133960171877003e+00,4.106572082586938954e-01,4.106572082586938954e-01,3.413429286896868309e+00,4.712079031948642971e+00,4.648007614950618205e+00,4.292758675954186032e+00,5.019986569505104690e+00,3.582136556229454510e-03,-3.755610911107160055e-01
1.799999999999999933e-01,5.248618930155974915e+00,1.297437466953581531e+00,4.822282173438220965e-01,4.822282173438220965e-01,3.578550454256409719e+00,5.023633582196321612e+00,5.064640960492283739e+00,3.951181463202393385e+00,5.154275911879804717e+00,3.931166263648086696e-03,-9.356611765116845669e-02
2.000000000000000111e-01,5.693479996741944049e+00,1.335777891778876070e+00,5.575788251404760754e-01,5.575788251404760754e-01,3.767530389832701054e+00,5.319254841809073042e+00,5.468349810019322632e+00,4.357702104963068201e+00,5.582974012831219746e+00,4.309225921209886012e-03,-1.189334287331067774e-01
2.200000000000000011e-01,5.391082800862550428e+00,1.541423806244253125e+00,6.354994687274716503e-01,6.354994687274716503e-01,3.896032179349779412e+00,5.288804600922591526e+00,5.052548285003486406e+00,3.849658994618297303e+00,5.150237234536266584e+00,4.657982143391081742e-03,-1.023469316761714265e-01
2.399999999999999911e-01,5.677519935790121153e+00,1.721452247885821407e+00,7.157956504624810590e-01,7.157956504624810590e-01,4.014809086750472211e+00,6.217914390061682894e+00,5.083801253356705629e+00,3.956067687904299746e+00,5.252842084523251742e+00,5.013686410532026613e-03,-1.740545175770777386e-01
2.600000000000000089e-01,5.440058245427112915e+00,1.872934514146466389e+00,7.970951555783141185e-01,7.970951555783141185e-01,4.064975255791655862e+00,6.469845968992558483e+00,4.516470777162306049e+00,3.567123731280646304e+00,4.722629616877440206e+00,5.333486526320577528e-03,-2.114923262414554195e-01
2.800000000000000266e-01,5.610164978380452361e+00,2.004009164461884041e+00,8.793216197444770899e-01,8.793216197444770899e-01,4.111323208308149013e+00,5.535554616544903439e+00,4.528454780956586490e+00,3.606155813918568320e+00,4.746282689577162373e+00,5.654888346244699854e-03,-2.234827969668199965e-01
2.999999999999999889e-01,4.947635942191126013e+00,1.708282509325152576e+00,9.603706393224865634e-01,9.603706393224865634e-01,4.052450978900475675e+00,5.783775644711483643e+00,3.522600914231415192e+00,3.239353432865973659e+00,3.738406007716137402e+00,5.908040249129414834e-03,-2.217131337338519859e-01
3.200000000000000067e-01,5.585487146457041696e+00,2.001779630982944091e+00,1.043159485041994738e+00,1.043159485041994738e+00,4.139442285975410307e+00,5.873752108125864346e+00,4.922364049649818440e+00,3.583707515474097605e+00,4.924049889157499749e+00,6.241479847922757479e-03,-7.927319355604117712e-03
3.400000000000000244e-01,5.158386423644651941e+00,2.219342842746149458e+00,1.125396831958707988e+00,1.125396831958707988e+00,4.111867345835665155e+00,5.913909171452496949e+00,3.863692884577957898e+00,2.939043580898502483e+00,4.008890626680368996e+00,6.512948032091664570e-03,-1.517106901345030567e-01
3.599999999999999867e-01,5.296952359153816126e+00,2.175656080932088177e+00,1.206812039675221992e+00,1.206812039675221992e+00,4.070760385825699323e+00,5.618298586522198157e+00,3.700797745736010835e+00,3.121296278221727949e+00,3.908564085837736624e+00,6.777622450502724175e-03,-2.145439625522284066e-01
