t_s,x_meas_cm,x_true_cm,v_true_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
0.000000000000000000e+00,1.499999999999999944e-02,1.499999999999999944e-02,7.500000000000000000e-01,7.500000000000000000e+00,4.985000000000000320e+00,7.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,4.345500000000000751e-02,4.345500000000000751e-02,1.422750000000000181e+00,7.477500000000000924e+00,4.956545000000000201e+00,7.477500000000000924e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,8.393413500000002081e-02,8.393413500000002081e-02,2.023956750000000415e+00,7.434817500000000301e+00,4.916065865000000201e+00,7.434817500000000301e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,1.351135540950000324e-01,1.351135540950000324e-01,2.558970954750000359e+00,7.374098797500000302e+00,4.864886445905000301e+00,7.374098797500000302e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,1.957696906182150309e-01,1.957696906182150309e-01,3.032806826160750369e+00,7.297329668857500451e+00,4.804230309381784636e+00,7.297329668857500451e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.647729044172538737e-01,2.647729044172538737e-01,3.450160689951943027e+00,7.206345464072676954e+00,4.735227095582746237e+00,7.206345464072676954e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.199999999999999956e-01,3.410814781231371051e-01,3.410814781231371051e-01,3.815428685294160793e+00,7.102840643374118912e+00,4.658918521876862506e+00,7.102840643374118912e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000133e-01,4.237359500240626131e-01,4.237359500240626131e-01,4.132723595046273957e+00,6.988377782815293315e+00,4.576264049975937276e+00,6.988377782815293315e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-01,5.118537668848233135e-01,5.118537668848233135e-01,4.405890843038037019e+00,6.864396074963906358e+00,4.488146233115176464e+00,6.864396074963906358e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.799999999999999933e-01,6.046242407588535706e-01,6.046242407588535706e-01,4.638523693701509742e+00,6.732219349672764253e+00,4.395375759241145985e+00,6.732219349672764253e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.013037945232042381e-01,7.013037945232042381e-01,4.833977688217530932e+00,6.593063638861718978e+00,4.298696205476796095e+00,6.593063638861718978e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000011e-01,8.012114815275501734e-01,8.012114815275501734e-01,4.995384350217297431e+00,6.448044308215194143e+00,4.198788518472449383e+00,6.448044308215194143e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.399999999999999911e-01,9.037247653868788477e-01,9.037247653868788477e-01,5.125664192966435273e+00,6.298182777708674074e+00,4.096275234613121263e+00,6.298182777708674074e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000089e-01,1.008275546564114000e+00,1.008275546564114000e+00,5.227539058861760068e+00,6.144412851919682339e+00,3.991724453435885778e+00,6.144412851919682339e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000266e-01,1.114346422983933271e+00,1.114346422983933271e+00,5.303543820990967106e+00,5.987586680153828667e+00,3.885653577016066507e+00,5.987586680153828667e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,1.221467172492818776e+00,1.221467172492818776e+00,5.356037475444280105e+00,5.828480365524099760e+00,3.778532827507181224e+00,5.828480365524099760e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000067e-01,1.329211445533337255e+00,1.329211445533337255e+00,5.387213652025929278e+00,5.667799241260771836e+00,3.670788554466662745e+00,5.667799241260771836e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000244e-01,1.437193656933204000e+00,1.437193656933204000e+00,5.399110569993335496e+00,5.506182831699994118e+00,3.562806343066796000e+00,5.506182831699994118e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.599999999999999867e-01,1.545066066222284373e+00,1.545066066222284373e+00,5.393620464454021324e+00,5.344209514600193778e+00,3.454933933777715627e+00,5.344209514600193778e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000044e-01,1.652516036383789855e+00,1.652516036383789855e+00,5.372498508075276291e+00,5.182400900666573662e+00,3.347483963616210367e+00,5.182400900666573662e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,1.759263461419993568e+00,1.759263461419993568e+00,5.337371251810179906e+00,5.021225945424315995e+00,3.240736538580006432e+00,5.021225945424315995e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.199999999999999845e-01,1.865058353568316729e+00,1.865058353568316729e+00,5.289744607416162481e+00,4.861104807870010092e+00,3.134941646431683271e+00,4.861104807870010092e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000000000022e-01,1.969678581441102638e+00,1.969678581441102638e+00,5.231011393639298568e+00,4.702412469647525128e+00,3.030321418558897584e+00,4.702412469647525128e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.600000000000000200e-01,2.072927750782286527e+00,2.072927750782286527e+00,5.162458467059202860e+00,4.545482127838345932e+00,2.927072249217713473e+00,4.545482127838345932e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.799999999999999822e-01,2.174633219937005535e+00,2.174633219937005535e+00,5.085273457735939751e+00,4.390608373826569988e+00,2.825366780062994465e+00,4.390608373826569988e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,2.274644242516441484e+00,2.274644242516441484e+00,5.000551128971794768e+00,4.238050170094491698e+00,2.725355757483558516e+00,4.238050170094491698e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000178e-01,2.372830230110384520e+00,2.372830230110384520e+00,4.909299379697149135e+00,4.088033636225337553e+00,2.627169769889615480e+00,4.088033636225337553e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.400000000000000355e-01,2.469079128254601851e+00,2.469079128254601851e+00,4.812444907210876366e+00,3.940754654834423221e+00,2.530920871745398149e+00,3.940754654834423221e+00,0.000000000000000000e+00,0.000000000000000000e+00
