t_s,x_ref_cm,x_meas_cm,x_meas_raw_cm,x_true_cm,v_true_cmps,v_obs_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
0.000000000000000000e+00,5.000000000000000000e+00,2.010000000000000328e-02,2.010000000000000328e-02,2.010000000000000328e-02,1.005000000000000115e+00,1.005000000000000115e+00,1.005000000000000071e+01,4.979899999999999771e+00,1.000000000000000000e+01,5.000000000000000278e-02,0.000000000000000000e+00
2.000000000000000042e-02,5.000000000000000000e+00,5.824889800000000728e-02,5.824889800000000728e-02,5.824889800000000728e-02,1.907444899999999999e+00,1.907444899999999999e+00,1.002944899999999961e+01,4.941751101999999563e+00,9.959799999999999542e+00,9.979899999999999882e-02,-3.015000000000000319e-02
4.000000000000000083e-02,5.000000000000000000e+00,1.124916869360400029e-01,1.124916869360400029e-01,1.124916869360400029e-01,2.712139446801999920e+00,2.712139446801999920e+00,9.954390368020000324e+00,4.887508313063960053e+00,9.883502203999999125e+00,1.492165110199999978e-01,-7.832834700000000649e-02
5.999999999999999778e-02,5.000000000000000000e+00,1.809840253664249943e-01,1.809840253664249943e-01,1.809840253664249943e-01,3.424616921519249679e+00,3.424616921519249679e+00,9.836914193974498843e+00,4.819015974633575006e+00,9.775016626127920105e+00,1.980915941506395939e-01,-1.361940263040599952e-01
8.000000000000000167e-02,5.000000000000000000e+00,2.619996087079828895e-01,2.619996087079828895e-01,2.619996087079828895e-01,4.050779167077894982e+00,4.050779167077894982e+00,9.686239377105705373e+00,4.738000391292017000e+00,9.638031949267150011e+00,2.462817538969753473e-01,-1.980743260584195142e-01
1.000000000000000056e-01,5.000000000000000000e+00,3.539326079896664146e-01,3.539326079896664146e-01,3.539326079896664146e-01,4.596649964084175366e+00,4.596649964084175366e+00,9.509487137140698820e+00,4.646067392010333919e+00,9.476000782584033999e+00,2.936617578098955073e-01,-2.601754032532305194e-01
1.199999999999999956e-01,5.000000000000000000e+00,4.552967772122833434e-01,4.552967772122833434e-01,4.552967772122833434e-01,5.068208461130845777e+00,5.068208461130845777e+00,9.312234934550879473e+00,4.544703222787716435e+00,9.292134784020667837e+00,3.401224317299988420e-01,-3.200222811997866512e-01
1.400000000000000133e-01,5.000000000000000000e+00,5.647223576303576076e-01,5.647223576303576076e-01,5.647223576303576076e-01,5.471279020903714319e+00,5.471279020903714319e+00,9.098914058859532972e+00,4.435277642369642059e+00,9.089406445575432869e+00,3.855694639578760019e-01,-3.760618506737760658e-01
1.600000000000000033e-01,5.000000000000000000e+00,6.809515717246686917e-01,6.809515717246686917e-01,6.809515717246686917e-01,5.811460704715552872e+00,5.811460704715552872e+00,8.873095859022100740e+00,4.319048428275331197e+00,8.870555284739284119e+00,4.299222403815724514e-01,-4.273816660987546645e-01
1.799999999999999933e-01,5.000000000000000000e+00,8.028332615971573993e-01,8.028332615971573993e-01,8.028332615971573993e-01,6.094084493624436938e+00,6.094084493624436938e+00,8.637698593804392644e+00,4.197166738402842157e+00,8.638096856550662395e+00,4.731127246643257456e-01,-4.735109874105948857e-01
