kp,ki,kd,score,baseline_overshoot,baseline_settle,baseline_iae,baseline_bias,x_ref_only_overshoot,x_ref_only_settle,x_ref_only_iae,x_ref_only_bias,x_meas_only_overshoot,x_meas_only_settle,x_meas_only_iae,x_meas_only_bias,mixed_all_overshoot,mixed_all_settle,mixed_all_iae,mixed_all_bias
0.7262,0.0001,0.0378,447.9314,0.03,4.96,7.045,0.0013,1.19,5.4,7.612,-0.0198,2.35,4.82,7.957,0.0128,0.0,-1,214.17,-17.3821
1.2306,0.0025,0.1047,450.7552,0.18,2.84,4.487,0.0088,2.03,3.68,5.162,-0.0168,4.5,3.72,6.169,0.0163,0.0,-1,223.68,-18.0646
1.0395,0.0024,0.1998,455.1629,0.26,3.9,5.775,0.0129,1.79,4.44,6.287,-0.0104,4.51,3.7800000000000002,7.47,0.021,0.0,-1,221.853,-17.8913
1.6571,0.0108,0.0829,456.9703,0.42,1.78,3.498,0.0211,2.82,1.94,4.141,-0.0091,5.97,5.36,5.454,0.0246,0.0,-1,227.332,-18.3406
1.7743,0.002,0.1994,458.4409,0.08,2.04,3.329,0.0038,2.57,2.04,4.311,-0.0244,6.64,5.3,6.011,0.0081,0.0,-1,228.006,-18.3468
1.8564,0.0112,0.11,460.0761,0.36,1.6,3.183,0.0179,3.01,2.3000000000000003,3.979,-0.0128,6.66,5.34,5.503,0.0206,0.0,-1,228.439,-18.4087
1.6407,0.0419,0.0227,460.5708,1.61,1.5,4.091,0.055,3.6,1.44,4.114,0.0257,6.74,3.3000000000000003,5.333,0.0604,0.0,-1,228.271,-18.4636
1.9036,0.0162,0.132,462.4675,0.5,1.58,3.283,0.025,3.17,2.32,3.964,-0.007,7.05,5.34,5.606,0.0263,0.0,-1,228.848,-18.438
2.1437,0.0263,0.2088,468.3292,0.68,1.52,3.279,0.0339,3.55,2.34,3.895,-0.0008,8.28,5.32,5.968,0.0318,0.0,-1,230.127,-18.519
1.4207,0.0547,0.0598,470.1956,2.6,1.86,5.209,0.0829,4.19,3.06,4.857,0.055,7.25,1.92,5.999,0.0898,0.0,-1,227.766,-18.4589
1.2053,0.0447,0.0664,473.2309,2.89,2.2600000000000002,6.017,0.098,4.25,2.16,5.547,0.072,6.95,3.2600000000000002,6.646,0.1064,0.0,-1,225.953,-18.3438
0.7,0.0135,0.0761,476.2123,2.57,4.38,8.747,0.1179,3.5,4.54,8.437,0.0968,4.99,5.24,9.283,0.1294,0.0,-1,215.971,-17.5866
1.9168,0.0786,0.0036,479.6508,2.99,3.16,3.922,0.0584,4.56,3.98,3.937,0.0276,7.96,3.34,5.195,0.0623,0.0,-1,230.337,-18.6217
2.3332,0.0117,0.1385,480.0076,0.57,1.2,2.581,0.0122,3.5,1.18,3.714,-0.0192,8.06,-1,5.639,0.0133,0.0,-1,230.271,-18.5255
2.1223,0.0373,0.0168,482.7006,2.29,1.8,3.15,0.041,3.78,1.56,3.661,0.0014,7.48,11.34,5.13,0.0351,0.0,-1,229.96,-18.5499
2.194,0.0364,0.1754,487.3512,0.89,1.36,3.332,0.0437,3.77,2.38,3.803,0.0048,8.43,-1,5.809,0.0375,0.0,-1,230.424,-18.553
2.2229,0.0324,0.2249,487.7796,0.79,1.46,3.311,0.0394,3.72,2.36,3.865,0.0026,8.67,-1,6.051,0.0351,0.0,-1,230.513,-18.5472
2.1823,0.0396,0.1842,488.3504,0.97,1.3800000000000001,3.44,0.0483,3.81,2.38,3.829,0.0078,8.53,-1,5.857,0.0405,0.0,-1,230.47,-18.5577
2.5239,0.0502,0.2141,489.4759,1.03,1.18,3.141,0.0467,4.19,1.18,3.711,0.005,9.57,-1,6.044,0.0372,0.0,-1,231.522,-18.6253
1.7027,0.0945,0.1115,490.5412,3.26,1.54,4.97,0.0805,4.87,1.52,4.641,0.0512,8.89,8.28,5.99,0.0856,0.0,-1,230.252,-18.6302
2.6914,0.0483,0.1123,492.9134,2.44,1.56,2.745,0.0362,4.38,1.54,3.604,-0.003,9.46,-1,5.797,0.0291,0.0,-1,231.693,-18.6454
2.5356,0.0877,0.2066,495.3234,1.73,1.12,3.369,0.0509,4.52,1.46,3.756,0.0183,10.13,-1,6.042,0.0506,0.0,-1,232.057,-18.6835
2.5493,0.0836,0.1309,496.2529,2.35,1.82,3.203,0.0494,4.52,1.54,3.678,0.0132,9.71,-1,5.772,0.0459,0.0,-1,231.953,-18.683
0.881,0.0354,0.1921,496.9097,4.39,3.48,8.828,0.1639,4.96,3.7,8.369,0.1416,8.22,4.14,9.41,0.1739,0.0,-1,222.449,-18.0814
2.8243,0.0764,0.118,498.381,3.12,1.6600000000000001,2.931,0.0494,4.72,1.54,3.612,0.0039,10.14,-1,5.955,0.036,0.0,-1,232.297,-18.696
2.9633,0.0897,0.181,499.8707,2.47,1.58,2.918,0.0494,4.89,1.54,3.649,0.0068,10.84,-1,6.26,0.0384,0.0,-1,232.701,-18.7187
1.3247,0.0844,0.086,500.0644,4.42,1.92,6.253,0.1051,5.58,9.040000000000001,5.79,0.0784,8.89,1.94,6.827,0.1129,0.0,-1,228.589,-18.5642
0.6523,0.0193,0.1774,500.9584,4.3,4.76,10.679,0.1914,4.92,5.16,10.348,0.1709,7.35,5.0600000000000005,11.185,0.2027,0.0,-1,216.296,-17.5865
2.5587,0.1084,0.1454,505.4917,2.59,2.16,3.378,0.0518,4.73,4.0,3.736,0.0191,10.12,-1,5.852,0.0516,0.0,-1,232.315,-18.717
2.5893,0.0969,0.0058,506.7597,5.42,1.8800000000000001,3.114,0.0493,6.36,2.44,3.611,0.0091,9.36,-1,5.526,0.0418,0.0,-1,232.093,-18.7115
1.234,0.0539,0.0999,508.1426,3.36,2.24,6.249,0.106,4.69,2.16,5.747,0.08,7.75,15.32,6.873,0.1141,0.0,-1,226.724,-18.4015
1.8002,0.1067,0.0868,509.4279,3.32,11.1,4.715,0.0746,5.02,1.32,4.42,0.0447,8.93,8.3,5.782,0.0793,0.0,-1,230.79,-18.6697
1.8263,0.1139,0.0933,511.1562,3.46,11.26,4.724,0.0742,5.2,1.3,4.43,0.0443,9.14,8.3,5.81,0.0788,0.0,-1,231.019,-18.6863
1.1963,0.0654,0.0386,512.4822,4.06,2.08,6.414,0.1098,5.24,2.06,5.913,0.0837,7.95,15.38,6.923,0.1187,0.0,-1,227.005,-18.4647
1.1722,0.0657,0.0404,514.0542,4.22,2.12,6.568,0.1131,5.37,2.1,6.057,0.0873,8.04,15.38,7.075,0.1222,0.0,-1,226.877,-18.461
2.8694,0.1264,0.1454,516.3447,3.38,1.92,3.127,0.0497,5.03,7.3,3.674,0.0134,10.87,-1,6.104,0.0454,0.0,-1,232.936,-18.7541
2.4696,0.1623,0.0324,516.9314,5.35,5.74,3.611,0.053,6.64,4.86,3.813,0.0187,9.93,9.4,5.559,0.0519,0.0,-1,232.809,-18.7859
2.5828,0.1266,0.063,517.8425,4.37,2.2,3.337,0.0509,5.75,7.32,3.698,0.0163,9.92,-1,5.661,0.049,0.0,-1,232.524,-18.746
2.3504,0.1231,0.185,518.6744,2.59,6.5200000000000005,3.878,0.0604,5.03,4.84,3.941,0.0298,10.27,-1,5.958,0.0626,0.0,-1,232.22,-18.7225
2.6709,0.1296,0.0678,518.7464,4.56,2.08,3.259,0.0502,5.89,7.32,3.676,0.0146,10.14,-1,5.746,0.0472,0.0,-1,232.677,-18.7529
2.9431,0.1561,0.164,519.9731,3.59,2.2,3.209,0.0506,5.31,7.32,3.711,0.0151,11.36,-1,6.24,0.047,0.0,-1,233.311,-18.7842
1.3772,0.0905,0.1627,520.9657,4.6,2.02,6.419,0.109,5.79,2.02,5.942,0.0827,9.78,15.3,7.093,0.1164,0.0,-1,229.105,-18.5821
1.2429,0.0775,0.1317,521.1875,4.68,2.18,6.811,0.1183,5.83,2.12,6.288,0.0929,9.31,15.32,7.394,0.1266,0.0,-1,227.971,-18.518
2.6736,0.1671,0.1038,521.5057,4.35,5.0200000000000005,3.475,0.0525,5.86,4.84,3.775,0.0184,10.72,-1,5.871,0.0508,0.0,-1,233.117,-18.7906
2.8454,0.1496,0.0664,522.8613,5.41,1.98,3.17,0.0497,6.43,7.32,3.665,0.0122,10.67,-1,5.92,0.0445,0.0,-1,233.099,-18.7804
1.8423,0.2133,0.0072,523.3149,6.47,10.76,4.885,0.0574,8.08,8.16,4.683,0.0232,10.01,1.08,5.72,0.0586,0.0,-1,232.821,-18.8517
2.7011,0.1882,0.1738,526.3887,3.63,6.9,3.636,0.0546,5.85,4.86,3.871,0.0213,11.33,-1,6.11,0.0537,0.0,-1,233.378,-18.8068
2.0053,0.2719,0.0749,527.1891,6.86,10.24,4.826,0.0524,8.74,8.16,4.686,0.0144,10.93,1.26,5.906,0.0488,0.0,-1,233.672,-18.8949
2.784,0.2123,0.1145,528.9964,4.98,6.38,3.52,0.0518,6.51,4.86,3.817,0.0158,11.33,-1,6.021,0.0483,0.0,-1,233.648,-18.831
1.6787,0.1612,0.0525,530.0951,5.37,12.48,5.298,0.0716,6.93,1.28,4.969,0.0419,9.79,10.36,6.097,0.077,0.0,-1,231.723,-18.7802
1.9447,0.1491,0.0692,531.0096,4.17,10.78,4.575,0.0669,6.15,3.16,4.371,0.0361,9.54,13.34,5.664,0.0708,0.0,-1,231.924,-18.757
