   time(s)  chan           type          delta
    21.935  FC_ATT_PIT     jump         -0.300
    21.955  FC_ATT_PIT     jump         -0.530
    21.985  FC_ATT_PIT     jump         -0.680
    22.010  FC_ATT_PIT     jump         -0.540
    22.030  FC_ATT_PIT     jump         -0.690
    22.050  FC_ATT_PIT     jump         -0.580
    22.080  FC_ATT_PIT     jump         -0.470
    22.210  FC_ATT_PIT     jump          0.320
    22.230  FC_ATT_PIT     jump          0.340
    22.260  FC_ATT_PIT     jump          0.450
    22.285  FC_ATT_PIT     jump          0.360
    22.305  FC_ATT_PIT     jump          0.410
    22.325  FC_ATT_PIT     jump          0.340
    22.355  FC_ATT_PIT     jump          0.360
    31.910  FC_ATT_ROL     jump         -0.230
    33.020  FC_ACC_Z       jump        242.000
    33.045  FC_ACC_Z       jump        434.000
    33.050  FC_ATT_ROL     jump          0.230
    33.060  FC_ACC_Z       jump       -232.000
    33.070  FC_ACC_Z       jump       -507.000
    33.080  FC_ATT_YAW     jump         -0.100
    33.210  FC_ATT_ROL     jump         -0.240
    33.210  FC_ATT_YAW     jump         -0.110
    33.230  FC_ATT_PIT     jump         -0.310
    33.230  FC_ATT_YAW     jump         -0.100
    33.260  FC_ATT_YAW     jump         -0.120
    33.395  FC_ATT_YAW     jump          0.120
    33.415  FC_ATT_YAW     jump          0.120
    33.475  FC_GYR_Y       jump       -176.000
    33.485  FC_ATT_ROL     jump          0.500
    33.505  FC_ATT_PIT     jump          0.300
    33.505  FC_ATT_ROL     jump          0.360
    33.525  FC_GYR_Y       jump       -182.000
    33.535  FC_ATT_PIT     jump          0.420
    33.535  FC_ATT_ROL     jump          0.290
    33.560  FC_ATT_PIT     jump          0.580
    33.570  FC_ACC_Z       jump        244.000
    33.570  FC_GYR_Y       jump       -203.000
    33.580  FC_ATT_PIT     jump          0.870
    33.580  FC_ATT_ROL     jump          0.230
    33.580  FC_ATT_YAW     jump         -0.160
    33.595  FC_ACC_X       jump        477.000
    33.595  FC_ACC_Y       jump        251.000
    33.595  FC_ACC_Z       jump        446.000
    33.595  FC_GYR_Y       jump        193.000
    33.600  FC_ATT_PIT     jump          0.440
    33.610  FC_ACC_X       jump        383.000
    33.610  FC_ACC_Z       jump       -254.000
    33.610  FC_GYR_Y       jump        313.000
    33.610  FC_GYR_Z       jump       -109.000
    33.620  FC_ACC_X       jump       -174.000
    33.620  FC_ACC_Y       jump       -182.000
    33.620  FC_ACC_Z       jump       -565.000
    33.630  FC_ATT_YAW     jump          0.110
    33.645  FC_ACC_Y       jump       -230.000
    33.645  FC_ACC_Z       jump       -252.000
    33.645  FC_GYR_Y       jump        178.000
    33.650  FC_ATT_ROL     jump         -0.250
    33.650  FC_ATT_YAW     jump          0.150
    33.660  FC_ACC_Z       jump        235.000
    33.670  FC_ATT_YAW     jump          0.170
    33.685  FC_ACC_Y       jump       -122.000
    33.685  FC_ACC_Z       jump        841.000
    33.685  FC_GYR_Z       jump        108.000
    33.690  FC_ATT_ROL     jump          0.290
    33.700  FC_ACC_X       jump       -357.000
    33.700  FC_ACC_Z       jump       -259.000
    33.710  FC_ACC_X       jump       -206.000
    33.710  FC_ACC_Y       jump        182.000
    33.710  FC_ACC_Z       jump       -644.000
    33.720  FC_ATT_YAW     jump         -0.110
    33.735  FC_ACC_Y       jump        145.000
    33.735  FC_GYR_Y       jump       -211.000
    33.750  FC_ACC_Z       jump        238.000
    33.750  FC_GYR_Y       jump       -211.000
    33.775  FC_ACC_X       jump        148.000
    33.790  FC_ACC_X       jump        264.000
    33.800  FC_ACC_X       jump        178.000
    33.800  FC_ACC_Y       jump       -180.000
    33.800  FC_GYR_Y       jump        191.000
    33.830  FC_ACC_Y       jump       -162.000
    33.845  FC_ACC_X       jump       -201.000
    33.870  FC_ACC_X       jump       -265.000
    33.870  FC_ACC_Y       jump        124.000
    33.885  FC_ACC_Y       jump        173.000
    33.895  FC_ACC_Y       jump        148.000
    33.920  FC_ACC_X       jump        186.000
    33.960  FC_ACC_Y       jump       -142.000
