   time(s)  chan           type          delta
    31.295  FC_ACC_X       jump       -371.000
    31.295  FC_ACC_Z       jump       1712.000
    31.335  FC_ACC_X       jump        400.000
    31.335  FC_ACC_Z       jump      -1311.000
    31.350  FC_GYR_Y       jump        190.000
    31.655  FC_ATT_ROL     jump         -0.520
    31.685  FC_ATT_ROL     jump         -0.640
    31.700  FC_GYR_Z       jump         89.000
    31.745  FC_ATT_YAW     jump         -0.150
    31.835  FC_ATT_ROL     jump          0.550
    31.835  FC_ATT_YAW     jump         -0.220
    31.865  FC_ATT_PIT     jump          0.640
    31.865  FC_ATT_ROL     jump          0.700
    31.865  FC_ATT_YAW     jump         -0.240
    31.885  FC_GYR_Y       jump       -200.000
    31.890  FC_ATT_PIT     jump          0.770
    31.900  FC_ACC_Y       jump        352.000
    31.910  FC_ATT_PIT     jump          0.940
    31.925  FC_ACC_X       jump        642.000
    31.925  FC_ACC_Y       jump        277.000
    31.925  FC_GYR_Y       jump        182.000
    31.930  FC_ATT_ROL     jump         -0.430
    31.940  FC_GYR_Y       jump        346.000
    31.940  FC_GYR_Z       jump        -86.000
    31.950  FC_ACC_Y       jump       -319.000
    31.950  FC_GYR_Z       jump        -85.000
    31.960  FC_ATT_ROL     jump         -0.500
    31.960  FC_ATT_YAW     jump          0.180
    31.980  FC_ATT_YAW     jump          0.240
    32.000  FC_ATT_YAW     jump          0.340
    32.015  FC_GYR_Z       jump        111.000
    32.020  FC_ATT_ROL     jump          0.480
    32.030  FC_ACC_X       jump       -363.000
    32.030  FC_ACC_Y       jump        339.000
    32.030  FC_GYR_Z       jump        197.000
    32.040  FC_ACC_Y       jump        355.000
    32.215  FC_ACC_Y       jump        281.000
