1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
FC_ACC_X,FC_ACC_Y,FC_ACC_Z,FC_GYR_X,FC_GYR_Y,FC_GYR_Z,FC_MAG_X,FC_MAG_Y,FC_MAG_Z,FC_ALT_BAR,FC_ALT_FU,FC_ATT_ROL,FC_ATT_PIT,FC_ATT_YAW,FC_Votage,FC_SenserTMP,FC_CTRLOUT_PWM1,FC_CTRLOUT_PWM2,FC_CTRLOUT_PWM3,FC_CTRLOUT_PWM4,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-31,50,1365,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-31,50,1365,-7,0,0,-105,629,-347,265.44,0,0,0,0,0,40.3,0,0,0,0,
-31,50,1365,-7,0,0,-105,629,-347,265.44,0,1.89,-1.08,90.22,0,40.3,0,0,0,0,
-31,50,1365,-7,0,0,-105,629,-347,265.44,-1.37,1.89,-1.08,90.22,0,40.3,0,0,0,0,
-31,50,1365,-7,0,0,-105,629,-347,265.44,-1.37,1.89,-1.08,90.22,15.47,40.3,0,0,0,0,
-31,50,1365,-7,0,0,-105,629,-347,265.44,-1.37,1.89,-1.08,90.22,15.47,40.3,0,0,0,0,
-30,49,1362,0,-1,-1,-105,629,-347,265.44,-1.37,1.89,-1.08,90.22,15.47,40.3,0,0,0,0,
-30,49,1362,0,-1,-1,-105,629,-347,265.44,-1.37,1.89,-1.08,90.22,15.47,40.3,0,0,0,0,
-30,49,1362,0,-1,-1,-105,629,-347,265.44,-1.37,1.89,-1.08,90.22,15.47,40.3,0,0,0,0,
-28,52,1365,-3,0,-2,-105,629,-347,265.44,-1.37,1.89,-1.08,90.22,15.47,40.3,0,0,0,0,
-28,52,1365,-3,0,-2,-106,627,-323,265.46,-1.37,1.89,-1.08,90.22,15.47,40.3,0,0,0,0,
-28,52,1365,-3,0,-2,-106,627,-323,265.46,-1.37,1.9,-1.08,90.23,15.47,40.3,0,0,0,0,
-28,52,1365,-3,0,-2,-106,627,-323,265.46,-1.37,1.9,-1.08,90.23,15.47,40.3,0,0,0,0,
-28,52,1365,-3,0,-2,-106,627,-323,265.46,-1.37,1.9,-1.08,90.23,15.47,40.3,0,0,0,0,
-28,50,1363,-1,0,-1,-106,627,-323,265.46,-1.37,1.9,-1.08,90.23,15.47,40.3,0,0,0,0,
-28,50,1363,-1,0,-1,-106,627,-323,265.46,-1.37,1.89,-1.08,90.13,15.47,40.3,0,0,0,0,
-28,50,1363,-1,0,-1,-106,627,-323,265.46,-1.37,1.89,-1.08,90.13,15.47,40.3,0,0,0,0,
-30,49,1365,-2,0,-1,-106,627,-323,265.46,-1.37,1.89,-1.08,90.13,15.47,40.3,0,0,0,0,
-30,49,1365,-2,0,-1,-106,627,-323,265.46,-1.37,1.89,-1.08,90.13,15.47,40.3,0,0,0,0,
-26,49,1369,2,1,2,-106,627,-323,265.46,-1.37,1.89,-1.08,90.13,15.47,40.3,0,0,0,0,
-26,49,1369,2,1,2,-106,637,-340,265.44,-1.37,1.89,-1.08,90.13,15.47,40.3,0,0,0,0,
-26,49,1369,2,1,2,-106,637,-340,265.44,-1.37,1.9,-1.08,90.17,15.47,40.3,0,0,0,0,
-26,49,1369,2,1,2,-106,637,-340,265.44,-1.37,1.9,-1.08,90.17,15.47,40.3,0,0,0,0,
-26,49,1369,2,1,2,-106,637,-340,265.44,-1.37,1.9,-1.08,90.17,15.47,40.3,0,0,0,0,
-27,50,1364,-4,0,0,-106,637,-340,265.44,-1.37,1.9,-1.08,90.17,15.47,40.3,0,0,0,0,
-27,50,1364,-4,0,0,-106,637,-340,265.44,-1.37,1.9,-1.08,90.12,15.47,40.3,0,0,0,0,
-27,50,1364,-4,0,0,-106,637,-340,265.44,-1.37,1.9,-1.08,90.12,15.47,40.3,0,0,0,0,
-27,49,1366,-1,0,2,-106,637,-340,265.44,-1.37,1.9,-1.08,90.12,15.47,40.3,0,0,0,0,
-27,49,1366,-1,0,2,-106,633,-338,265.46,-1.37,1.9,-1.08,90.12,15.47,40.3,0,0,0,0,
-27,49,1366,-1,0,2,-106,633,-338,265.46,-1.37,1.9,-1.08,90.17,15.47,40.3,0,0,0,0,
-27,49,1366,-1,0,2,-106,633,-338,265.46,-1.37,1.9,-1.08,90.17,15.47,40.3,0,0,0,0,
-27,49,1366,-1,0,2,-106,633,-338,265.46,-1.37,1.9,-1.08,90.17,15.47,40.3,0,0,0,0,
-24,50,1364,-4,1,2,-106,633,-338,265.46,-1.37,1.9,-1.08,90.17,15.47,40.3,0,0,0,0,
-24,50,1364,-4,1,2,-106,633,-338,265.46,-1.37,1.9,-1.08,90.23,15.47,40.3,0,0,0,0,
-24,50,1364,-4,1,2,-106,633,-338,265.46,-1.37,1.9,-1.08,90.23,15.47,40.3,0,0,0,0,
-28,52,1365,2,1,1,-106,633,-338,265.46,-1.37,1.9,-1.08,90.23,15.47,40.3,0,0,0,0,
-28,52,1365,2,1,1,-106,633,-338,265.46,-1.37,1.9,-1.08,90.23,15.47,40.3,0,0,0,0,
